x	y
-0.399938	0.968381
-0.696777	0.795812
-1.11894	0.731251
-1.03871	0.798329
-0.497989	0.623772
-0.45817	0.326928
-0.603574	0.694176
-0.999506	0.608284
-0.983825	0.181487
-1.10772	-0.262106
-0.930307	-0.45649
-0.62415	-0.525345
-0.762606	-0.699247
-0.57687	-0.88556
-0.654316	-0.650077
-0.33109	-1.03741
-1.07432	-0.748867
-0.208708	-1.00868
-0.493157	-0.740876
-1.13112	0.404712
0.159261	-1.2514
0.501593	-1.12867
0.370503	-0.668598
0.83455	-1.1843
0.635592	-0.370612
0.568183	-0.170616
0.773373	0.0854855
0.660109	0.457476
0.359531	0.622581
0.789018	0.44099
0.928149	0.50134
0.173279	0.926341
0.84462	0.250031
0.644031	0.477344
1.04079	0.158262
0.721823	-0.275266
1.12428	0.359295
0.353024	-0.654922
-0.746475	-0.33163
0.867456	0.365052
-0.815546	0.645976
-0.788522	-0.157459
0.709662	0.166219
-0.852246	0.538771
-0.790274	0.697131
0.149654	-0.96631
-0.43232	-0.845153
-0.474955	-0.890621
0.0858135	0.495855
-1.26201	-0.763002
0.0900262	-0.794663
-0.789142	-0.558156
0.0628381	0.834465
0.653539	-0.0532354
0.782559	-0.309197
1.16578	0.00766377
-0.796281	0.911118
-0.232443	0.472549
-0.711667	-1.06057
0.439964	-1.33171
-0.701383	0.120137
-0.249993	-0.582588
-0.663838	0.986107
-0.210502	0.94589
-0.977906	-0.461629
0.747714	-0.748196
0.616012	1.00873
-0.14993	-0.814045
-0.0537273	0.990836
0.623618	-0.798937
0.736411	-0.112202
0.879868	0.142076
-0.542388	0.919077
-1.17367	-0.580997
0.247819	-1.21556
0.4976	0.588813
-0.600398	0.747606
-0.749763	-0.752867
0.966177	0.850648
-1.1118	-0.566418
0.278824	-1.60105
0.806913	0.39479
0.565328	0.673657
0.363438	-0.914117
-0.776093	-0.689546
-0.59589	-0.620493
-0.963506	0.686918
-0.805832	-0.406844
-0.84665	0.224699
1.17323	-0.0303692
-0.925868	0.150408
-0.608753	-0.871796
0.282104	-0.613653
0.626033	-0.298831
-1.12613	-1.01701
-0.596628	-0.504555
-1.3662	1.11049
-1.16369	-0.860566
-0.799243	1.01568
-0.102752	-0.913176
1.16915	0.188221
-0.943397	0.497467
0.0211972	0.953992
-0.172362	1.14288
1.21884	-0.154128
0.196591	0.581282
-1.15417	0.732049
-0.686947	0.673822
0.19521	1.22295
-0.576532	0.133179
-0.548887	0.752504
-0.055384	0.890369
-0.838582	-0.412092
-0.356748	-0.344813
0.224994	-0.795935
-0.490831	0.0838655
-1.05362	0.096777
0.828217	0.600371
1.03103	0.497052
-0.233127	-0.626524
0.0393439	-0.856374
0.852147	-0.240983
-0.962138	0.449244
-0.162054	-1.08895
-0.384628	0.981578
0.469402	-0.51906
-1.13464	-0.0256487
1.16618	-0.481171
0.0168498	-0.983348
1.20501	0.237939
-0.937265	-0.535009
1.08895	-0.128405
0.422229	0.117217
0.33206	1.28949
1.1957	-0.201615
-1.30404	0.100431
1.0029	0.280317
-0.519308	0.587467
0.0512292	-1.11334
-1.04493	0.0581116
1.32345	0.406274
-0.266343	1.06205
-0.018003	-0.727345
0.631829	-0.0829186
0.0995356	0.685515
0.554654	1.21557
-0.0438142	-0.846326
0.597717	-0.82925
0.161118	0.944958
0.0605714	0.577886
-0.828645	0.0344213
-0.20987	1.27879
0.646935	-0.928007
-0.846294	0.948809
0.480324	-1.13688
0.614029	1.00081
1.02916	-0.0382524
0.256567	0.914582
0.83414	0.0444911
1.1561	0.131704
-0.600265	-1.24512
-0.471574	-0.645098
