x	y
-0.399938	0.968381
-0.931343	-0.151943
-0.10724	1.01597
-0.356807	-0.286868
1.09064	0.344859
1.11155	-0.613446
-1.10817	-0.168139
-0.39043	1.05002
-0.250129	0.694797
-0.046663	1.02027
-1.04923	-0.502678
-0.926923	-0.0462577
0.373571	1.03283
0.373918	0.852196
0.592677	-0.572833
-0.832662	-1.08571
-1.10495	0.710636
-0.23925	0.854564
-0.485212	1.18741
0.463546	0.980666
0.133937	-1.07628
1.54142	-0.00519189
1.08305	0.0767274
-0.249633	0.679625
0.216781	-1.45046
0.22237	-1.46574
0.714191	-0.300795
-0.467975	0.867866
-0.604368	0.823278
-1.03341	0.201282
-1.34884	-0.728021
-0.12041	1.37881
-0.855589	-0.533626
-0.815202	0.94983
1.04073	-0.59804
-0.973	-0.483486
-0.342125	-0.583001
0.748904	0.412165
-0.425027	-0.735033
-0.121932	1.11157
-0.700265	-0.891808
0.780052	-0.453272
1.0029	-0.00885942
0.873464	0.00961379
-0.165667	0.249624
0.653712	0.846043
-0.111594	-0.0875175
1.09905	-0.537416
-0.114175	0.476016
0.839556	0.0766469
-0.463529	-0.320663
1.09065	-0.670205
0.549479	0.117517
1.12357	0.343806
-0.414007	-0.74083
-0.822079	-0.618231
1.18041	0.0421962
-0.204532	-0.867403
-0.240777	1.19226
0.396349	1.15
0.0909242	-1.00633
-0.190986	-0.276096
-0.727685	-0.235173
-0.95193	0.565294
-0.201985	-1.15813
-0.19844	0.884035
0.626885	0.787704
-1.55788	-0.0906229
0.565253	-0.621378
0.633673	0.377213
0.238682	-1.1249
-1.09954	0.0946005
0.0766824	-0.375097
0.136946	-0.897706
1.05737	0.277648
0.892808	0.388306
1.02534	0.736868
0.673257	-0.163915
-0.585284	0.855918
-0.778341	-0.595937
-0.480384	-0.284541
0.577172	0.671935
0.946339	-0.496133
0.326825	0.767224
0.705757	0.154268
-0.27496	-0.96012
-0.812265	-0.30321
0.874614	-0.325988
0.386548	-0.557248
0.752291	-0.356262
0.805394	0.175673
-0.994597	-0.242144
-1.21428	-0.314599
-0.641948	0.0520942
0.0317841	-1.03702
-1.30953	0.444765
-0.940569	0.233653
-0.722645	0.55247
-0.324819	-1.11977
-0.679807	-0.15322
-0.705022	0.7971
-0.870797	-0.598112
0.829673	-0.576495
0.0556235	0.612272
-0.407112	-0.666776
0.375731	-0.88355
-0.90856	-0.254435
0.869755	0.139962
-0.533159	-0.286851
-0.448557	-0.0878447
-0.44762	-0.860642
0.969249	-0.273132
0.993354	-0.748776
-1.48813	0.528581
-0.289256	-0.905088
1.05723	0.00810085
0.0167265	-1.13494
-1.35005	0.414106
0.747661	0.463259
1.11892	-0.0700825
0.769876	0.461768
-0.855838	-0.0454854
-0.945136	-0.0235339
0.932864	0.74261
-0.667848	0.106374
1.41562	0.504204
0.183265	-1.09264
